Time(ms),QueueSize(Packets)
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,56
1300,13
1400,93
1500,12
1600,0
1700,0
1800,25
1900,70
2000,11
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,92
5200,0
5300,90
5400,27
5500,15
5600,0
5700,0
5800,0
5900,92
6000,45
6100,0
6200,0
6300,0
6400,0
6500,0
6600,0
6700,0
6800,0
6900,0
7000,0
7100,73
7200,54
7300,23
7400,52
7500,90
7600,54
7700,55
7800,53
7900,32
8000,91
8100,0
8200,0
8300,0
8400,0
8500,0
8600,0
8700,0
8800,0
8900,0
9000,0
9100,49
9200,53
9300,62
9400,66
9500,81
9600,38
9700,30
9800,0
9900,0
